,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
2718,2718,2719,2922,Bicknell - City of,,Provides governance and municipal services for the city of Bicknell in Knox County.,"{""open"":{""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.bicknell.in.gov,,,812-735-4636,City Hall
2719,2719,2720,2923,Flanner House of Indianapolis,,"""A nonprofit agency with a mission to act as a catalyst for economic, educational, and social development for individuals, children and families.""",,Mon-Fri 9am-noon and 1pm-5pm,www.flannerhouse.org,,,317-925-4231,
2720,2720,2721,2924,Knox County Solid Waste Management,,"The Knox County Solid Waste Management's mission is to '""address the issues concerning solid waste management for all of Knox County ensuring environmentally sound and fiscally responsible management.""","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.knoxcountyrecycling.org,,,812-895-4878,
2721,2721,2722,2925,Mooresville Consolidated School Corporation,"Mooresville High School, Neil A. Armstrong Elementary, Neil Armstrong Elementary, Newby Elementary, Newby Memorial Elementary, North Madison Elementary, North Wood Elementary, Northwood Elementary, Paul Hadley Middle School, Waverly Elementary","Administers the elementary, middle, and high schools within the district.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.mooresvilleschools.org,,,317-831-0950,
2722,2722,2723,2926,Vincennes Housing Authority,,A government agency that administers housing assistance programs.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.vhanet.org,,,812-882-5494,
2723,2723,2724,2927,Knox County Special Education Cooperative,,A cooperative of school districts that provides centralized special education services to students living within the boundaries of the participating school districts.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.vcsc.k12.in.us,,,812-882-0102,
2724,2724,2725,2928,Kosciusko County Veterans Service office,"Kosciusko County Veteran Service Office, Kosciusko County Veteran's Service Office, Kosciusko County Veterans' Service Office, Kosciusko County Veterans Service Officer","County veterans service officers are veterans employed by the county to act as liaisons with county residents for veteran issues, including but not limited to; providing forms, information, and assistance in obtaining state and federal veterans benefits.","{""open"":{""Tuesday"":[[[8,0],[12,0]],[[13,0],[16,0]]],""Wednesday"":[[[8,0],[12,0]],[[13,0],[16,0]]],""Thursday"":[[[8,0],[12,0]],[[13,0],[16,0]]]},""closed"":[]}",Tues-Thurs 8am-noon and 1pm-4pm,www.kcgov.com,,,574-372-2436,
2725,2725,2726,2929,YMCA of Vincennes,,"A nonprofit organization offering various social, recreational, and fitness programs.",,Mon-Fri 5:30am-9pm; Sat 6am-6pm; Sun 1pm-6pm,www.vincennesymca.org,,,812-895-9622,Office
2726,2726,2727,2930,Mid-North Food Pantry,"Mid North Church Council, Mid North Food Pantry, Midnorth Church Council, Mid-North Church Council, Midnorth Food Pantry, Mid-North Food Pantry, Trinity Outreach Center, MNFP",A nonprofit organization offering a community food pantry to select Indianapolis zip codes.,"{""open"":{""Monday"":[[[10,0],[13,30]]],""Wednesday"":[[[10,0],[13,30]]],""Friday"":[[[10,0],[12,0]]]},""closed"":[]}",Mon and Wed 10am-1:30pm; Fri 10am-noon,www.midnorthfoodpantry.org,www.facebook.com/midnorthfoodpantry,,317-924-7900,
2727,2727,2728,2931,Fletcher Place Community Center,,"""United Methodist Mission Agency seeking to break the cycle of poverty through the compassion of Jesus Christ.""","{""open"":{""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,www.fletcherplacecc.org,,,317-636-3466,Voice-Administration
2728,2728,2729,2932,Heart To Heart,"Heart To Heart, Inc.","A nonprofit organization that provides parent education, prenatal support, and counseling services.","{""open"":{""Thursday"":[[[10,0],[16,0]]],""Wednesday"":[[[10,0],[16,0]]],""Tuesday"":[[[10,0],[16,0]]],""Monday"":[[[10,0],[16,0]]]},""closed"":[]}",Mon-Thurs 10am-4pm,www.h2hcenter.com,,,812-886-9446,
2729,2729,2730,2933,Knox County Housing Authority,,A government agency that administers housing assistance programs for Knox County.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,,,,812-735-2006,
2730,2730,2731,2934,Indianapolis International Airport Authority,"Iia, Indianapolis Airport",Indianapolis International Airport providing flights both national and international for 9 airlines.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.indianapolisairport.com,,,317-487-9594,Administration
2731,2731,2732,2935,Knox County Public Library,,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Saturday"":[[[8,30],[17,0]]],""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[21,0]]],""Tuesday"":[[[8,30],[21,0]]],""Monday"":[[[8,30],[21,0]]],""Sunday"":[[[13,0],[17,0]]]},""closed"":[]}",Mon-Wed 8:30am-9pm; Thurs-Sat 8:30am-5pm; Sun 1pm-5pm,www.kcpl.lib.in.us,,,812-886-4380,
2732,2732,2733,2936,Mid - North Shepherd's Center,"Mid North Shepherd's Center, Mid-North Shepherds Center, Midnorth Shepherd's Center","An interfaith ministry offering a variety of programs, activities and services to persons age 55 or older.",,Mon 9am-1pm; Tues 8:30am-2:30pm; Wed 8:30am-2:30pm; Thurs 1-5pm,www.mnscenter.org,,,317-924-0959,
2733,2733,2734,2937,Miami County Prosecutor's office,,"Represents the state of Indiana in felony and misdemeanor criminal prosecutions, conducts criminal investigations, supervises Grand Jury proceedings, enforces child support orders, conducts juvenile adjudication and prosecution, enforces traffic violations, and provides information and assistance to victims of crime.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.miamicountyin.gov,,,765-472-3901,x 1279
2734,2734,2735,2938,Dukes Memorial Hospital,"Duke's Memorial, Lutheran Health Network","Offers a full-service hospital providing a wide range of diagnostic, treatment, and health care programs, including 24-hour emergency care.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.dukesmemorialhosp.com,,,765-472-8000,Switchboard
2735,2735,2736,2940,Heather Hills Baptist Church,Mom House,A church with worship services and an outreach to mothers and children.,"{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.heatherhills.org,,,317-891-2130,
2736,2736,2737,2941,Resurrection Lutheran Church,,A church offering regular worship services and providing community outreach including a hot meal.,,Vary,www.rlcindy.org,,,317-881-7854,
2737,2737,2738,2942,Lagrange County Veterans Service office,"Lagrange County Veteran Service Office, Lagrange County Veteran's Service Office, Lagrange County Veterans' Service Office, Lagrange County Veterans Service Officer","County veterans service officers are veterans employed by the county to act as liaisons with county residents for veteran issues, including but not limited to; providing forms, information, and assistance in obtaining state and federal veterans benefits.",,By appointment,www.lagrangecounty.org,,,260-499-6387,
2738,2738,2739,2943,Lagrange County Clerk,Lagrange County Clerk's Office,"The County Clerk maintains records of all civil and criminal court activities; administers jury draw, child support collections, and voter registration; issues marriage licenses; and records state tax liens in the county.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.lagrangecounty.org,,,260-499-6368,Clerk's Office
2739,2739,2740,2944,Foster Success,"Connect By 25 Foster Success, Indiana Connected By 25",A nonprofit organization with a mission to foster success and productive independence for area youth that are transitioning out of the foster care system.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.FosterSuccess.org,,,317-917-8940,
2740,2740,2741,2946,Accessability: Center For Independent Living,Ircil - Indianapolis Resource Center For Independent Living,"A nonprofit disability rights organization providing consumers, governmental agencies, corporation, and other nonprofits in Marion and surrounding counties with the tools necessary to ensure the acceptance, respect, and inclusion of everyone. As an agency representing the community they serve, no less than 51% of staff and board are persons with disabilities.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.abilityindiana.org,,,317-926-1660,
2741,2741,2742,2947,Midtown Community Mental Health - Eskenazi Health,,A community mental health center through Eskenazi Health offering a full range of services for persons suffering from mental illness or chronic addiction.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.eskenazihealth.edu,,,317-880-8491,Access Center (New Patient Intake)
2742,2742,2743,2948,Indiana Housing And Community Development Authority,IHCDA,"A state agency with a mission to ""help communities build upon their assets to create places with ready access to opportunities, goods, and services. Also promote, finance, and support a broad range of housing solutions, from temporary shelters to home ownership.""","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.in.gov/ihcda,,,317-232-7777,
2743,2743,2744,2949,Franklin Active Adult Center,,A community center providing a variety of programs and services for the active adult and senior residents of Franklin and the surrounding communities.,"{""open"":{""Friday"":[[[9,0],[15,0]]],""Thursday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Monday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Fri 9am-3pm,www.franklin.in.gov,,,317-736-3696,
2744,2744,2745,2950,Indiana Department of Correction,"Work Release, IDOC","Responsible for the custody, care, discipline, study, training, and treatment of all person sentenced by the courts to the Indiana Department of Correction.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.in.gov/idoc,,,317-232-5711,
2745,2745,2746,2952,Volunteer Income Tax Assistance and Tax Counseling for the Elderly,"Free Tax Sites, Vita",Free tax preparation and filing for eligible clients through VITA and AARP volunteer programs.,,Vary,,,,,
2746,2746,2747,2953,Michigan City Fire Department,,Provides emergency fire and medical services for the city of Michigan City.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.emichigancity.com,,,219-873-1440,
2747,2747,2748,2955,Marion County Voter Registration Board,,"Oversees all voter registration, maintains voter filings, and serves as a voter registration site.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.indy.gov/eGov/County/Voter/Registration,,,317-327-5040,
2748,2748,2749,2956,Eagle Creek Church of Christ,,"A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Wednesday"":[[[19,0],[21,0]]],""Sunday"":[[[9,30],[19,0]]]},""closed"":[]}",Sun 9:30am-7pm; Wed 7pm-9pm,www.eaglecreekchurchofchrist.com,,,317-253-5530,
2749,2749,2750,2958,Helping His Hands Disaster Response,Helping His Hands Disaster Response Inc,"A nonprofit organization that offers a food pantry, automotive repairs, and disaster response support services.","{""open"":{""Monday"":[[[9,30],[16,0]]],""Tuesday"":[[[9,30],[16,0]]],""Wednesday"":[[[9,30],[16,0]]],""Thursday"":[[[9,30],[16,0]]],""Friday"":[[[9,30],[16,0]]]},""closed"":[]}",Mon-Fri 9:30am-4pm,www.helpinghishands.com,www.facebook.com/HelpingHisHandsDisasterResponse,www.twitter.com/HelpingHisHands,812-494-2888,
2750,2750,2751,2959,Peru Police Department,Ppd,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties for the city of Peru in Miami County.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.cityofperu.org,,,765-473-2150,
2751,2751,2752,2960,Peru Fire Department,Pfd,City department that provides emergency fire and medical services for the city of Peru in Miami County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.cityofperu.org,,,765-472-2410,
2752,2752,2753,2961,Open Door Community Alliance,,A nonprofit organization offering voucher assistance for medical prescriptions to La Porte County residents and also matching eligible residents with pharmaceutical manufacturers' presrciption assistance programs.,"{""open"":{""Monday"":[[[9,0],[12,0]]],""Friday"":[[[9,0],[12,0]]],""Thursday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[12,0]]],""Tuesday"":[[[9,0],[12,0]]]},""closed"":[]}","Mon, Tues, Wed, and Fri 9am-noon; Thurs 9am-3pm",www.opendoorcommunityalliance.com,,,219-877-1881,
2753,2753,2754,2963,Community Health Network - Education And Support Services,,"A network of hospitals, physicians, and other health and medical services.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.ecommunity.com,,,317-355-1411,Switchboard
2754,2754,2755,2964,Saint Vincent Health - Education and Support Services,,"A nonprofit health network with a Catholic perspective offering hospitals, physicians, and specialty services throughout central and southern Indiana.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.stvincent.org,,,317-338-2273,
2755,2755,2756,2966,"Crooked Creek Food Pantry,Inc.",,"A nonprofit agency providing food, personal hygiene items, and paper products to people in need.","{""open"":{""Wednesday"":[[[13,15],[17,45]]],""Thursday"":[[[9,15],[12,0]],[[13,30],[17,45]]],""Friday"":[[[11,15],[15,45]]],""Saturday"":[[[10,0],[12,0]]]},""closed"":[]}",Wed 1:15pm-5:45pm; Thurs 9:15-noon and 1:30pm-5:45pm; Fri 11:15am-3:45pm; 2nd Sat 10:00am-noon,www.ccfpindy.org,,,317-471-9064,
2756,2756,2757,2967,Kosciusko County Head Start/ Early Head Start,Cardinal Services Of Indiana,"Kosciusko County Head Start/Early Head Start's mission is to ""promote the development of children by providing comprehensive services to families while emphasizing the role of parents as their children's first and most important teacher.""","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.cardinalservices.org,,,574-267-2451,
2757,2757,2758,2968,Saint Vincent Anderson Regional,,"A nonprofit health network offering hospitals, physicians, and specialty services throughout central and southern Indiana.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,,,,765-649-2511,Switchboard
2758,2758,2759,2970,Pendleton Christian Church,,"A church with worship services and charitable outreach programs, including a weekly community meal.","{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.pendcc.org,www.facebook.com/pendletonchristianchurch,www.twitter.com/Pendcc,765-778-2156,
2759,2759,2760,2971,Monroe Township Trustee - Morgan County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,317-996-2920,
